subject,experiment,experiment_condition,condition,condition_number,ratings_type,content_type,age,gender,gender_self_describe,acceptability_battle_robot_static_b1,acceptability_battle_robot_static_b2,acceptability_battle_robot_static_b3,acceptability_high_man_static_b1,acceptability_high_man_static_b2,acceptability_high_man_static_b3,acceptability_lo_man_static_b1,acceptability_lo_man_static_b2,acceptability_lo_man_static_b3,acceptability_mannequin_static_b1,acceptability_mannequin_static_b2,acceptability_mannequin_static_b3,acceptability_skeleton_static_b1,acceptability_skeleton_static_b2,acceptability_skeleton_static_b3,acceptability_toy_robot_static_b1,acceptability_toy_robot_static_b2,acceptability_toy_robot_static_b3,acceptability_zombie_static_b1,acceptability_zombie_static_b2,acceptability_zombie_static_b3,acceptability_battle_robot_m1_v1,acceptability_battle_robot_m1_v2,acceptability_battle_robot_m1_v3,acceptability_battle_robot_m1_v4,acceptability_battle_robot_m1_v5,acceptability_battle_robot_m1_v6,acceptability_battle_robot_m2_v1,acceptability_battle_robot_m2_v2,acceptability_battle_robot_m2_v3,acceptability_battle_robot_m2_v4,acceptability_battle_robot_m2_v5,acceptability_battle_robot_m2_v6,acceptability_battle_robot_m3_v1,acceptability_battle_robot_m3_v2,acceptability_battle_robot_m3_v3,acceptability_battle_robot_m3_v4,acceptability_battle_robot_m3_v5,acceptability_battle_robot_m3_v6,acceptability_battle_robot_m4_v1,acceptability_battle_robot_m4_v2,acceptability_battle_robot_m4_v3,acceptability_battle_robot_m4_v4,acceptability_battle_robot_m4_v5,acceptability_battle_robot_m4_v6,acceptability_battle_robot_m5_v1,acceptability_battle_robot_m5_v2,acceptability_battle_robot_m5_v3,acceptability_battle_robot_m5_v4,acceptability_battle_robot_m5_v5,acceptability_battle_robot_m5_v6,acceptability_high_man_m1_v1,acceptability_high_man_m1_v2,acceptability_high_man_m1_v3,acceptability_high_man_m1_v4,acceptability_high_man_m1_v5,acceptability_high_man_m1_v6,acceptability_high_man_m2_v1,acceptability_high_man_m2_v2,acceptability_high_man_m2_v3,acceptability_high_man_m2_v4,acceptability_high_man_m2_v5,acceptability_high_man_m2_v6,acceptability_high_man_m3_v1,acceptability_high_man_m3_v2,acceptability_high_man_m3_v3,acceptability_high_man_m3_v4,acceptability_high_man_m3_v5,acceptability_high_man_m3_v6,acceptability_high_man_m4_v1,acceptability_high_man_m4_v2,acceptability_high_man_m4_v3,acceptability_high_man_m4_v4,acceptability_high_man_m4_v5,acceptability_high_man_m4_v6,acceptability_high_man_m5_v1,acceptability_high_man_m5_v2,acceptability_high_man_m5_v3,acceptability_high_man_m5_v4,acceptability_high_man_m5_v5,acceptability_high_man_m5_v6,acceptability_lo_man_m1_v1,acceptability_lo_man_m1_v2,acceptability_lo_man_m1_v3,acceptability_lo_man_m1_v4,acceptability_lo_man_m1_v5,acceptability_lo_man_m1_v6,acceptability_lo_man_m2_v1,acceptability_lo_man_m2_v2,acceptability_lo_man_m2_v3,acceptability_lo_man_m2_v4,acceptability_lo_man_m2_v5,acceptability_lo_man_m2_v6,acceptability_lo_man_m3_v1,acceptability_lo_man_m3_v2,acceptability_lo_man_m3_v3,acceptability_lo_man_m3_v4,acceptability_lo_man_m3_v5,acceptability_lo_man_m3_v6,acceptability_lo_man_m4_v1,acceptability_lo_man_m4_v2,acceptability_lo_man_m4_v3,acceptability_lo_man_m4_v4,acceptability_lo_man_m4_v5,acceptability_lo_man_m4_v6,acceptability_lo_man_m5_v1,acceptability_lo_man_m5_v2,acceptability_lo_man_m5_v3,acceptability_lo_man_m5_v4,acceptability_lo_man_m5_v5,acceptability_lo_man_m5_v6,acceptability_mannequin_m1_v1,acceptability_mannequin_m1_v2,acceptability_mannequin_m1_v3,acceptability_mannequin_m1_v4,acceptability_mannequin_m1_v5,acceptability_mannequin_m1_v6,acceptability_mannequin_m2_v1,acceptability_mannequin_m2_v2,acceptability_mannequin_m2_v3,acceptability_mannequin_m2_v4,acceptability_mannequin_m2_v5,acceptability_mannequin_m2_v6,acceptability_mannequin_m3_v1,acceptability_mannequin_m3_v2,acceptability_mannequin_m3_v3,acceptability_mannequin_m3_v4,acceptability_mannequin_m3_v5,acceptability_mannequin_m3_v6,acceptability_mannequin_m4_v1,acceptability_mannequin_m4_v2,acceptability_mannequin_m4_v3,acceptability_mannequin_m4_v4,acceptability_mannequin_m4_v5,acceptability_mannequin_m4_v6,acceptability_mannequin_m5_v1,acceptability_mannequin_m5_v2,acceptability_mannequin_m5_v3,acceptability_mannequin_m5_v4,acceptability_mannequin_m5_v5,acceptability_mannequin_m5_v6,acceptability_skeleton_m1_v1,acceptability_skeleton_m1_v2,acceptability_skeleton_m1_v3,acceptability_skeleton_m1_v4,acceptability_skeleton_m1_v5,acceptability_skeleton_m1_v6,acceptability_skeleton_m2_v1,acceptability_skeleton_m2_v2,acceptability_skeleton_m2_v3,acceptability_skeleton_m2_v4,acceptability_skeleton_m2_v5,acceptability_skeleton_m2_v6,acceptability_skeleton_m3_v1,acceptability_skeleton_m3_v2,acceptability_skeleton_m3_v3,acceptability_skeleton_m3_v4,acceptability_skeleton_m3_v5,acceptability_skeleton_m3_v6,acceptability_skeleton_m4_v1,acceptability_skeleton_m4_v2,acceptability_skeleton_m4_v3,acceptability_skeleton_m4_v4,acceptability_skeleton_m4_v5,acceptability_skeleton_m4_v6,acceptability_skeleton_m5_v1,acceptability_skeleton_m5_v2,acceptability_skeleton_m5_v3,acceptability_skeleton_m5_v4,acceptability_skeleton_m5_v5,acceptability_skeleton_m5_v6,acceptability_toy_robot_m1_v1,acceptability_toy_robot_m1_v2,acceptability_toy_robot_m1_v3,acceptability_toy_robot_m1_v4,acceptability_toy_robot_m1_v5,acceptability_toy_robot_m1_v6,acceptability_toy_robot_m2_v1,acceptability_toy_robot_m2_v2,acceptability_toy_robot_m2_v3,acceptability_toy_robot_m2_v4,acceptability_toy_robot_m2_v5,acceptability_toy_robot_m2_v6,acceptability_toy_robot_m3_v1,acceptability_toy_robot_m3_v2,acceptability_toy_robot_m3_v3,acceptability_toy_robot_m3_v4,acceptability_toy_robot_m3_v5,acceptability_toy_robot_m3_v6,acceptability_toy_robot_m4_v1,acceptability_toy_robot_m4_v2,acceptability_toy_robot_m4_v3,acceptability_toy_robot_m4_v4,acceptability_toy_robot_m4_v5,acceptability_toy_robot_m4_v6,acceptability_toy_robot_m5_v1,acceptability_toy_robot_m5_v2,acceptability_toy_robot_m5_v3,acceptability_toy_robot_m5_v4,acceptability_toy_robot_m5_v5,acceptability_toy_robot_m5_v6,acceptability_zombie_m1_v1,acceptability_zombie_m1_v2,acceptability_zombie_m1_v3,acceptability_zombie_m1_v4,acceptability_zombie_m1_v5,acceptability_zombie_m1_v6,acceptability_zombie_m2_v1,acceptability_zombie_m2_v2,acceptability_zombie_m2_v3,acceptability_zombie_m2_v4,acceptability_zombie_m2_v5,acceptability_zombie_m2_v6,acceptability_zombie_m3_v1,acceptability_zombie_m3_v2,acceptability_zombie_m3_v3,acceptability_zombie_m3_v4,acceptability_zombie_m3_v5,acceptability_zombie_m3_v6,acceptability_zombie_m4_v1,acceptability_zombie_m4_v2,acceptability_zombie_m4_v3,acceptability_zombie_m4_v4,acceptability_zombie_m4_v5,acceptability_zombie_m4_v6,acceptability_zombie_m5_v1,acceptability_zombie_m5_v2,acceptability_zombie_m5_v3,acceptability_zombie_m5_v4,acceptability_zombie_m5_v5,acceptability_zombie_m5_v6,uncanny_valley_check_1,uncanny_valley_check_2
07a27feb-499e-4e39-8c2f-9a8dde9a0a52,1,Acceptability Condition,1. Acceptability_Images_1st_Videos_2nd,1,Acceptability Only,Static Images and Videos,54,male,NA,5,5,5,5,5,5,5,5,5,4,3,4,4,4,4,6,6,6,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,No,No
0faeff89-5e43-4695-8268-182f46f3015e,1,Acceptability Condition,1. Acceptability_Images_1st_Videos_2nd,1,Acceptability Only,Static Images and Videos,32,female,NA,6,6,6,5,6,6,5,5,5,4,6,6,3,3,3,7,7,7,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,No,No
1ff5a9c8-effd-4efe-940c-b39aa08eb44a,1,Acceptability Condition,1. Acceptability_Images_1st_Videos_2nd,1,Acceptability Only,Static Images and Videos,29,female,NA,9,9,9,6,6,7,6,5,6,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,7,5,7,5,6,7,7,6,7,7,6,6,7,6,6,7,6,6,7,7,7,7,6,7,7,9,7,7,7,7,5,6,6,5,5,6,5,6,6,6,5,6,5,5,6,5,5,6,5,5,5,6,6,5,5,5,5,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,No,No
204876e1-bf45-4f56-a822-2f458700cf22,1,Acceptability Condition,2. Acceptability_Videos_1st_Images_2nd,2,Acceptability Only,Static Images and Videos,58,female,NA,5,5,5,7,8,7,7,7,7,8,8,8,1,1,1,6,6,6,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,No,no
28880585-9086-401c-afd5-d9d35314e3df,1,Acceptability Condition,2. Acceptability_Videos_1st_Images_2nd,2,Acceptability Only,Static Images and Videos,23,male,NA,5,5,5,4,4,4,4,4,4,3,3,3,5,5,5,8,8,8,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Yes,"As something beings to appear more like a human there is a moment where it is unsettling at how close to human-like it is, but it's clear that it's not completely human."
29a9bc12-ac00-470c-a330-85bd0a78c089,1,Acceptability Condition,2. Acceptability_Videos_1st_Images_2nd,2,Acceptability Only,Static Images and Videos,19,male,NA,6,6,6,9,9,9,9,9,9,1,1,1,3,3,3,5,5,5,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,9,5,9,5,9,5,9,5,9,4,9,5,9,5,9,5,9,5,9,5,9,5,9,5,9,5,9,5,9,9,9,5,9,5,9,5,9,9,9,5,9,5,9,5,9,5,9,9,9,5,9,5,9,4,9,5,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,No,No.
2dae8a6a-96d2-40ae-8a0b-7cfebdc46c82,1,Acceptability Condition,1. Acceptability_Images_1st_Videos_2nd,1,Acceptability Only,Static Images and Videos,21,male,NA,6,6,6,6,6,6,4,5,5,9,9,9,3,3,3,6,6,6,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,5,4,4,4,4,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,No,no
2f240626-d4ba-42ae-8760-8851c579e2f8,1,Acceptability Condition,2. Acceptability_Videos_1st_Images_2nd,2,Acceptability Only,Static Images and Videos,31,male,NA,6,6,6,5,5,5,4,4,4,1,1,1,4,4,4,8,8,8,2,2,2,5,6,5,5,5,6,6,6,5,6,5,6,5,6,5,6,5,6,4,6,4,6,5,5,4,6,6,6,5,6,4,5,4,5,5,5,5,5,5,5,5,6,5,5,5,5,4,5,5,5,5,5,5,5,5,5,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,4,5,4,4,5,4,6,4,5,5,5,4,5,4,6,4,4,4,5,4,4,4,5,4,6,4,4,4,8,8,7,8,8,8,8,8,8,8,8,8,9,8,9,8,7,8,8,8,8,8,8,8,9,8,8,9,8,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,No,"No, i haven't heard of this term."
3f96a885-5944-4b85-9324-663c3a6fe175,1,Acceptability Condition,1. Acceptability_Images_1st_Videos_2nd,1,Acceptability Only,Static Images and Videos,55,female,NA,3,3,4,7,5,6,6,4,5,4,5,5,7,4,5,6,4,4,3,3,3,3,5,4,5,4,5,4,5,4,6,4,4,4,4,4,3,4,5,3,4,5,3,4,4,4,2,5,2,4,2,5,5,5,5,5,5,4,6,4,4,5,4,5,3,4,2,4,4,5,2,4,3,4,4,3,3,5,3,5,5,4,6,5,5,6,5,4,3,4,4,4,5,4,3,4,3,5,5,3,2,5,2,5,6,3,3,3,2,6,4,5,5,5,6,5,4,5,5,5,4,6,4,5,5,4,6,5,4,4,2,5,2,4,6,3,3,4,4,4,4,6,4,4,5,4,5,5,4,5,4,4,5,5,4,4,3,4,3,3,2,3,3,5,5,4,3,5,3,4,3,4,5,4,6,3,5,4,4,4,6,4,5,5,4,4,4,4,3,5,3,4,5,4,4,3,3,5,4,5,3,3,5,3,4,3,4,3,2,3,3,3,3,3,3,3,4,3,4,2,2,3,2,3,4,2,2,4,2,3,3,No,no
3fb2a882-4afe-4caa-9945-853833940752,1,Acceptability Condition,1. Acceptability_Images_1st_Videos_2nd,1,Acceptability Only,Static Images and Videos,41,female,NA,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,5,5,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,No,no
